Time,Temp,Humi,Motor Temp,XVal,YVal,ZVal,Vibe,Count
1043.5499999999513,21.3,28.7,29.83,58.86,58.86,166.77,94.0,380.0
1043.8199999999513,21.3,28.7,29.83,294.3,58.86,353.16,235.0,380.0
1044.0899999999513,21.3,28.7,30.09,58.86,58.86,117.72,78.0,380.0
1044.3599999999512,21.3,28.7,29.83,0.0,0.0,58.86,19.0,380.0
1044.6299999999512,21.3,28.7,29.83,0.0,0.0,0.0,0.0,380.0
1044.8999999999512,21.3,28.7,29.83,0.0,58.86,0.0,19.0,380.0
1045.1699999999512,21.3,28.8,29.83,58.86,58.86,117.72,78.0,380.0
1045.4399999999512,21.3,28.8,29.83,58.86,0.0,461.07,173.0,380.0
1045.7099999999512,21.3,28.8,30.09,0.0,0.0,0.0,0.0,381.0
1045.9799999999511,21.3,28.8,29.83,0.0,58.86,0.0,19.0,381.0
1046.2499999999511,21.3,28.8,29.83,0.0,58.86,0.0,19.0,381.0
1046.519999999951,21.3,28.8,29.83,0.0,284.49,117.72,134.0,381.0
1046.789999999951,21.3,28.8,29.83,0.0,107.91,0.0,35.0,381.0
1047.059999999951,21.3,28.8,29.83,0.0,0.0,58.86,19.0,381.0
1047.329999999951,21.3,28.7,29.83,0.0,0.0,58.86,19.0,381.0
1047.599999999951,21.3,28.7,29.83,0.0,0.0,58.86,19.0,381.0
1047.869999999951,21.3,28.7,29.83,0.0,58.86,166.77,75.0,381.0
1048.139999999951,21.3,28.7,29.83,294.3,461.07,0.0,251.0,381.0
1048.409999999951,21.3,28.7,29.83,58.86,107.91,58.86,75.0,382.0
1048.679999999951,21.3,28.7,30.09,0.0,0.0,0.0,0.0,382.0
1048.949999999951,21.3,28.7,29.83,58.86,58.86,176.58,98.0,382.0
1049.219999999951,21.3,28.7,29.83,58.86,235.44,58.86,117.0,382.0
1049.489999999951,21.3,28.7,29.83,0.0,58.86,117.72,58.0,382.0
1049.7599999999509,21.3,28.7,29.83,0.0,58.86,0.0,19.0,382.0
1050.0299999999509,21.3,28.7,29.83,58.86,0.0,58.86,39.0,382.0
1050.2999999999508,21.3,28.7,29.83,0.0,58.86,0.0,19.0,382.0
1050.5699999999508,21.3,28.7,30.09,107.91,0.0,294.3,134.0,382.0
1050.8399999999508,21.3,28.7,29.83,0.0,294.3,107.91,134.0,382.0
1051.1099999999508,21.3,28.7,30.09,0.0,58.86,0.0,19.0,383.0
1051.3799999999508,21.3,28.7,29.83,0.0,0.0,0.0,0.0,383.0
1051.6499999999508,21.3,28.7,29.83,58.86,58.86,235.44,117.0,383.0
1051.9199999999507,21.3,28.7,29.83,971.19,402.21,745.56,706.0,383.0
1052.1899999999507,21.3,28.7,29.83,0.0,107.91,284.49,130.0,383.0
1052.4599999999507,21.3,28.7,30.09,0.0,0.0,0.0,0.0,383.0
1052.7299999999507,21.3,28.7,29.83,0.0,58.86,0.0,19.0,383.0
1052.9999999999507,21.3,28.7,29.83,58.86,0.0,58.86,39.0,383.0
1053.2699999999506,21.3,28.7,29.83,58.86,0.0,117.72,58.0,383.0
1053.5399999999506,21.3,28.7,29.83,58.86,107.91,461.07,209.0,383.0
1053.8099999999506,21.3,28.7,30.09,58.86,58.86,58.86,58.0,383.0
1054.0799999999506,21.3,28.7,30.09,0.0,0.0,58.86,19.0,384.0
1054.3499999999506,21.3,28.7,29.83,58.86,0.0,117.72,58.0,384.0
1054.6199999999506,21.3,28.7,29.83,58.86,58.86,0.0,39.0,384.0
1054.8899999999505,21.3,28.7,29.83,402.21,235.44,117.72,251.0,384.0
1055.1599999999505,21.3,28.7,29.83,0.0,0.0,0.0,0.0,384.0
1055.4299999999505,21.3,28.7,30.09,0.0,0.0,0.0,0.0,384.0
1055.6999999999505,21.3,28.7,29.83,0.0,58.86,58.86,39.0,384.0
1055.9699999999505,21.3,28.7,29.83,0.0,0.0,58.86,19.0,384.0
1056.2399999999504,21.3,28.7,29.83,58.86,58.86,117.72,78.0,384.0
1056.5099999999504,21.3,28.7,30.09,58.86,107.91,58.86,75.0,384.0
1056.7799999999504,21.3,28.7,30.09,58.86,0.0,0.0,19.0,385.0
1057.0499999999504,21.3,28.7,30.09,58.86,58.86,0.0,39.0,385.0
1057.3199999999504,21.3,28.7,30.09,58.86,58.86,107.91,75.0,385.0
1057.5899999999504,21.3,28.7,30.09,117.72,107.91,353.16,192.0,385.0
1057.8599999999503,21.3,28.7,30.09,0.0,0.0,0.0,0.0,385.0
1058.1299999999503,21.3,28.7,29.83,0.0,0.0,58.86,19.0,385.0
1058.3999999999503,21.3,28.7,29.83,58.86,0.0,0.0,19.0,385.0
1058.6699999999503,21.3,28.7,29.83,58.86,0.0,0.0,19.0,385.0
1058.9399999999503,21.3,28.7,29.83,0.0,0.0,0.0,0.0,385.0
1059.2099999999502,21.3,28.7,29.83,58.86,402.21,176.58,212.0,385.0
1059.4799999999502,21.3,28.7,29.83,0.0,58.86,58.86,39.0,386.0
1059.7499999999502,21.3,28.7,29.83,58.86,0.0,0.0,19.0,386.0
1060.0199999999502,21.3,28.7,29.83,58.86,117.72,0.0,58.0,386.0
1060.2899999999502,21.3,28.7,30.09,0.0,58.86,49.05,35.0,386.0
1060.5599999999502,21.3,28.7,29.83,58.86,0.0,0.0,19.0,386.0
1060.8299999999501,21.3,28.7,30.09,0.0,0.0,0.0,0.0,386.0
1061.0999999999501,21.3,28.7,30.09,0.0,0.0,0.0,0.0,386.0
1061.36999999995,21.3,28.7,30.09,0.0,58.86,58.86,39.0,386.0
1061.63999999995,21.3,28.7,29.83,58.86,58.86,117.72,78.0,386.0
1061.90999999995,21.3,28.7,30.09,0.0,176.58,107.91,94.0,386.0
1062.17999999995,21.3,28.7,29.83,0.0,58.86,0.0,19.0,387.0
1062.44999999995,21.3,28.7,29.83,0.0,58.86,58.86,39.0,387.0
1062.71999999995,21.3,28.7,29.83,107.91,225.63,176.58,170.0,387.0
1062.98999999995,21.3,28.7,30.09,0.0,107.91,176.58,94.0,387.0
1063.25999999995,21.3,28.7,30.09,58.86,0.0,0.0,19.0,387.0
1063.52999999995,21.3,28.7,30.09,0.0,0.0,0.0,0.0,387.0
1063.79999999995,21.3,28.7,30.09,0.0,58.86,0.0,19.0,387.0
1064.06999999995,21.3,28.7,30.09,0.0,58.86,0.0,19.0,387.0
1064.33999999995,21.3,28.7,29.83,58.86,0.0,58.86,39.0,387.0
1064.6099999999499,21.3,28.7,29.83,58.86,107.91,0.0,55.0,387.0
1064.8799999999499,21.3,28.7,30.09,0.0,0.0,0.0,0.0,388.0
1065.1499999999498,21.3,28.7,29.83,0.0,58.86,58.86,39.0,388.0
1065.4199999999498,21.3,28.7,30.09,0.0,58.86,49.05,35.0,388.0
1065.6899999999498,21.3,28.7,30.09,107.91,58.86,49.05,71.0,388.0
1065.9599999999498,21.3,28.7,29.83,58.86,58.86,58.86,58.0,388.0
1066.2299999999498,21.3,28.7,29.83,0.0,0.0,0.0,0.0,388.0
1066.4999999999498,21.3,28.7,30.09,0.0,0.0,0.0,0.0,388.0
1066.7699999999497,21.3,28.7,30.09,0.0,0.0,58.86,19.0,388.0
1067.0399999999497,21.3,28.7,30.09,117.72,0.0,0.0,39.0,388.0
1067.3099999999497,21.3,28.7,30.09,107.91,117.72,166.77,130.0,388.0
1067.5799999999497,21.3,28.7,30.09,58.86,58.86,0.0,39.0,389.0
1067.8499999999497,21.3,28.7,29.83,0.0,0.0,58.86,19.0,389.0
1068.1199999999496,21.3,28.7,30.09,58.86,0.0,176.58,78.0,389.0
1068.3899999999496,21.3,28.7,29.83,58.86,107.91,107.91,91.0,389.0
1068.6599999999496,21.3,28.7,29.83,0.0,58.86,58.86,39.0,389.0
1068.9299999999496,21.3,28.7,30.09,0.0,58.86,58.86,39.0,389.0
1069.1999999999496,21.3,28.7,30.09,0.0,0.0,58.86,19.0,389.0
1069.4699999999496,21.3,28.7,29.83,0.0,58.86,58.86,39.0,389.0
1069.7399999999495,21.3,28.7,30.09,0.0,0.0,412.02,137.0,389.0
1070.0099999999495,21.3,28.7,29.83,58.86,0.0,58.86,39.0,389.0
1070.2799999999495,21.3,28.7,29.83,58.86,58.86,58.86,58.0,390.0
1070.5499999999495,21.3,28.7,29.83,0.0,0.0,58.86,19.0,390.0
1070.8199999999495,21.3,28.7,30.09,58.86,235.44,107.91,134.0,390.0
1071.0899999999494,21.3,28.7,29.83,58.86,58.86,0.0,39.0,390.0
1071.3599999999494,21.3,28.7,30.09,58.86,0.0,117.72,58.0,390.0
1071.6299999999494,21.3,28.7,30.09,0.0,58.86,58.86,39.0,390.0
1071.8999999999494,21.3,28.7,30.09,0.0,58.86,58.86,39.0,390.0
1072.1699999999494,21.3,28.7,30.34,0.0,0.0,0.0,0.0,390.0
1072.4399999999494,21.3,28.7,30.09,107.91,58.86,353.16,173.0,390.0
1072.7099999999493,21.3,28.7,29.83,0.0,686.7,235.44,307.0,390.0
1072.9799999999493,21.3,28.7,29.83,0.0,58.86,0.0,19.0,391.0
1073.2499999999493,21.3,28.7,30.09,58.86,0.0,58.86,39.0,391.0
1073.5199999999493,21.3,28.7,29.83,58.86,58.86,117.72,78.0,391.0
1073.7899999999493,21.3,28.7,30.09,0.0,0.0,0.0,0.0,391.0
1074.0599999999492,21.3,28.7,30.09,58.86,0.0,0.0,19.0,391.0
1074.3299999999492,21.3,28.7,30.09,0.0,0.0,58.86,19.0,391.0
1074.5999999999492,21.3,28.7,30.09,0.0,0.0,58.86,19.0,391.0
1074.8699999999492,21.3,28.7,30.09,0.0,58.86,0.0,19.0,391.0
1075.1399999999492,21.3,28.7,30.09,0.0,58.86,225.63,94.0,391.0
1075.4099999999492,21.3,28.7,29.83,235.44,166.77,49.05,150.0,391.0
1075.6799999999491,21.3,28.7,29.83,0.0,0.0,0.0,0.0,392.0
1075.9499999999491,21.3,28.7,30.09,0.0,0.0,0.0,0.0,392.0
1076.219999999949,21.3,28.7,30.09,58.86,117.72,176.58,117.0,392.0
1076.489999999949,21.3,28.7,29.83,58.86,117.72,176.58,117.0,392.0
1076.759999999949,21.3,28.7,30.09,58.86,0.0,58.86,39.0,392.0
1077.029999999949,21.3,28.7,30.09,0.0,58.86,58.86,39.0,392.0
1077.299999999949,21.3,28.7,30.09,0.0,0.0,0.0,0.0,392.0
1077.569999999949,21.3,28.7,30.09,58.86,0.0,0.0,19.0,392.0
1077.839999999949,21.3,28.7,30.09,58.86,58.86,117.72,78.0,392.0
1078.109999999949,21.3,28.7,29.83,235.44,107.91,176.58,173.0,392.0
1078.379999999949,21.3,28.7,29.83,58.86,0.0,49.05,35.0,393.0
1078.649999999949,21.3,28.7,29.83,58.86,0.0,0.0,19.0,393.0
1078.919999999949,21.3,28.7,29.83,0.0,58.86,58.86,39.0,393.0
1079.189999999949,21.3,28.7,29.83,166.77,176.58,353.16,232.0,393.0
1079.4599999999489,21.3,28.7,30.09,0.0,0.0,0.0,0.0,393.0
1079.7299999999489,21.3,28.7,30.09,0.0,58.86,58.86,39.0,393.0
1079.9999999999488,21.3,28.7,30.09,0.0,58.86,58.86,39.0,393.0
1080.2699999999488,21.3,28.7,30.09,0.0,0.0,0.0,0.0,393.0
1080.5399999999488,21.3,28.7,30.09,166.77,58.86,58.86,94.0,393.0
1080.8099999999488,21.3,28.7,30.09,343.35,58.86,117.72,173.0,393.0
1081.0799999999488,21.3,28.7,30.09,0.0,58.86,49.05,35.0,394.0
1081.3499999999487,21.3,28.7,30.09,0.0,0.0,0.0,0.0,394.0
1081.6199999999487,21.3,28.7,30.09,0.0,0.0,166.77,55.0,394.0
1081.8899999999487,21.3,28.7,30.09,58.86,0.0,343.35,134.0,394.0
1082.1599999999487,21.3,28.7,30.09,0.0,58.86,176.58,78.0,394.0
1082.4299999999487,21.3,28.7,30.34,0.0,0.0,58.86,19.0,394.0
1082.6999999999487,21.3,28.7,30.09,0.0,0.0,0.0,0.0,394.0
1082.9699999999486,21.3,28.7,30.34,0.0,58.86,0.0,19.0,394.0
1083.2399999999486,21.3,28.7,30.09,58.86,166.77,412.02,212.0,394.0
1083.5099999999486,21.3,28.7,30.09,0.0,176.58,235.44,137.0,394.0
1083.7799999999486,21.3,28.7,29.83,58.86,0.0,0.0,19.0,395.0
1084.0499999999486,21.3,28.7,29.83,58.86,0.0,0.0,19.0,395.0
1084.3199999999485,21.3,28.7,30.09,0.0,0.0,107.91,35.0,395.0
1084.5899999999485,21.3,28.7,29.83,166.77,284.49,107.91,186.0,395.0
1084.8599999999485,21.3,28.7,30.09,58.86,58.86,176.58,98.0,395.0
1085.1299999999485,21.3,28.7,30.09,0.0,0.0,117.72,39.0,395.0
1085.3999999999485,21.3,28.7,30.09,0.0,0.0,0.0,0.0,395.0
1085.6699999999485,21.3,28.7,30.09,0.0,0.0,58.86,19.0,395.0
1085.9399999999484,21.3,28.7,30.09,107.91,58.86,235.44,134.0,395.0
1086.2099999999484,21.3,28.7,30.34,166.77,58.86,117.72,114.0,395.0
1086.4799999999484,21.3,28.7,29.83,58.86,58.86,58.86,58.0,396.0
1086.7499999999484,21.3,28.7,30.09,58.86,0.0,0.0,19.0,396.0
1087.0199999999484,21.3,28.7,30.09,58.86,58.86,117.72,78.0,396.0
1087.2899999999483,21.3,28.7,29.83,461.07,0.0,107.91,189.0,396.0
1087.5599999999483,21.3,28.7,30.09,0.0,58.86,235.44,98.0,396.0
1087.8299999999483,21.3,28.7,30.34,0.0,58.86,58.86,39.0,396.0
1088.0999999999483,21.3,28.7,30.34,0.0,0.0,58.86,19.0,396.0
1088.3699999999483,21.3,28.7,30.34,0.0,58.86,58.86,39.0,396.0
1088.6399999999483,21.3,28.7,29.83,0.0,58.86,0.0,19.0,396.0
1088.9099999999482,21.3,28.7,30.34,117.72,225.63,107.91,150.0,396.0
1089.1799999999482,21.3,28.7,30.09,0.0,58.86,0.0,19.0,396.0
1089.4499999999482,21.3,28.7,30.09,0.0,0.0,0.0,0.0,397.0
1089.7199999999482,21.3,28.7,30.09,117.72,58.86,49.05,75.0,397.0
1089.9899999999482,21.3,28.7,30.34,568.98,0.0,510.12,359.0,397.0
1090.2599999999481,21.3,28.7,30.09,117.72,107.91,284.49,170.0,397.0
1090.5299999999481,21.3,28.7,30.34,0.0,0.0,0.0,0.0,397.0
1090.799999999948,21.3,28.7,30.34,0.0,58.86,0.0,19.0,397.0
1091.069999999948,21.3,28.7,30.34,0.0,58.86,0.0,19.0,397.0
1091.339999999948,21.3,28.7,30.09,166.77,58.86,0.0,75.0,397.0
1091.609999999948,21.3,28.7,30.34,343.35,166.77,58.86,189.0,397.0
1091.879999999948,21.3,28.7,29.83,117.72,107.91,0.0,75.0,397.0
1092.149999999948,21.3,28.7,30.09,58.86,58.86,58.86,58.0,398.0
1092.419999999948,21.3,28.7,30.34,0.0,0.0,0.0,0.0,398.0
1092.689999999948,21.3,28.7,30.09,58.86,58.86,0.0,39.0,398.0
1092.959999999948,21.3,28.7,30.34,58.86,117.72,0.0,58.0,398.0
1093.229999999948,21.3,28.7,30.34,58.86,0.0,0.0,19.0,398.0
1093.499999999948,21.3,28.7,30.34,0.0,0.0,0.0,0.0,398.0
1093.769999999948,21.3,28.7,30.34,0.0,58.86,58.86,39.0,398.0
